id,genre,title
70125931,Children & Family Movies,The Karate Kid
80192187,Action,Triple Frontier
80218306,Action,Rim of the World
70117294,Action,Takers
70305892,Action,The Equalizer
80157091,Action,Wonder Woman
80119234,Action,Bright
80223052,Action,Polar
70059988,Action,Rush Hour 3
80133493,Action,The Dark Tower
81074014,Action,Sniper: Ultimate Kill
80156386,Action,Guardians of the Galaxy Vol. 2
70297757,Action,Godzilla
80093138,Action,Now You See Me 2
70208599,Action,The Amazing Spider-Man
70262639,Action,World War Z
81079230,Action,Lucky Luke
60020602,Action,Point Break
80167481,Action,How It Ends
70080038,Action,Iron Man
20557937,Action,The Matrix
80038359,Action,Mission: Impossible - Rogue Nation
60020801,Action,Rush Hour 2
80198592,Action,Armed Response
70243360,Action,Iron Man 3
80144140,Action,King Arthur: Legend of the Sword
80027980,Action,San Andreas
70293702,Action,The Amazing Spider-Man 2
70208104,Action,Safe House
70301367,Action,Jupiter Ascending
80200961,Action,The Hard Way
70108777,Action,Inglourious Basterds
60004481,Action,Spider-Man
70264801,Action,White House Down
17236928,Action,Rush Hour
70047101,Action,Spider-Man 3
70178640,Action,Colombiana
60030998,Action,They Live
70111470,Action,Iron Man 2
70108779,Action,2012
80084088,Action,Gods of Egypt
70127227,Action,The Town
80025919,Action,Mad Max: Fury Road
70101694,Action,Body of Lies
60029167,Action,Bad Boys II
70075479,Action,Wanted
70267241,Action,Pacific Rim
60027706,Action,The Italian Job
70217912,Action,Snow White & the Huntsman
70109892,Action,Avatar
382868,Action,Cliffhanger
60002360,Action,Jurassic Park
80019608,Action,Furious 7
70202148,Action,Sherlock Holmes: A Game of Shadows
60036230,Action,Spider-Man 2
80094621,Action,Independence Day: Resurgence
80058396,Action,Dragonball Z: Resurrection F
80092417,Action,X-Men: Apocalypse
70259170,Action,Oblivion
80236421,Action,Extinction
70118402,Action,Salt
70273614,Action,Escape Plan
80098200,Action,Spectral
80076698,Action,Ip Man 3
70213514,Action,The Dark Knight Rises
70056430,Action,Shooter
70293461,Action,Divergent
80029196,Action,Jurassic World
80058399,Action,The Martian
81006261,Action,The Seven Deadly Sins the Movie: Prisoners of the Sky
70103526,Action,The A-Team
70202134,Action,Todsicher
60022985,Action,The Bourne Identity
70270776,Action,2 Guns
70061480,Action,War
70217908,Action,Battleship
80170278,Award-Winning Movies,Dunkirk
70119811,Award-Winning Movies,The Blind Side
80013871,Award-Winning Movies,American Sniper
60001650,Award-Winning Movies,Men in Black
70262639,Award-Winning Movies,World War Z
60000901,Award-Winning Movies,How the Grinch Stole Christmas
70080038,Award-Winning Movies,Iron Man
20557937,Award-Winning Movies,The Matrix
70213513,Award-Winning Movies,Brave
70112368,Award-Winning Movies,The Cabin in the Woods
70108777,Award-Winning Movies,Inglourious Basterds
70305903,Award-Winning Movies,Interstellar
70075480,Award-Winning Movies,Kung Fu Panda
1181461,Award-Winning Movies,Titanic
70109893,Award-Winning Movies,How to Train Your Dragon
70289949,Award-Winning Movies,The Lego Movie
70127227,Award-Winning Movies,The Town
80025919,Award-Winning Movies,Mad Max: Fury Road
60034572,Award-Winning Movies,Shrek 2
70113002,Award-Winning Movies,The Hangover
60004479,Award-Winning Movies,"Monsters, Inc."
70230640,Award-Winning Movies,Django Unchained
70019004,Award-Winning Movies,Coach Carter
60021234,Award-Winning Movies,Training Day
60024942,Award-Winning Movies,Catch Me If You Can
70131314,Award-Winning Movies,Inception
70109892,Award-Winning Movies,Avatar
60002360,Award-Winning Movies,Jurassic Park
60036230,Award-Winning Movies,Spider-Man 2
81004270,Award-Winning Movies,The Dawn Wall
70126574,Award-Winning Movies,Kung Fu Panda 2
80058396,Award-Winning Movies,Dragonball Z: Resurrection F
60001220,Award-Winning Movies,Jaws
60010110,Award-Winning Movies,Back to the Future
391018,Award-Winning Movies,Coming to America
80240715,Award-Winning Movies,ROMA
880640,Award-Winning Movies,Pulp Fiction
70044889,Award-Winning Movies,The Devil Wears Prada
80058397,Award-Winning Movies,Creed
80142090,Award-Winning Movies,Baby Driver
70251895,Award-Winning Movies,The Impossible
60000724,Award-Winning Movies,Forrest Gump
70213514,Award-Winning Movies,The Dark Knight Rises
80058399,Award-Winning Movies,The Martian
70019012,Award-Winning Movies,Casino
21878564,Award-Winning Movies,Saving Private Ryan
